filename;Ukrainian title;Transliterated title;Name in catalogue;year;collector;place;performer;number_of_voices; performer gender and age;Syllabic structure;Strophes;archive reference;original metadata;audio recording;additional remarks
Kmeln_ballads_453_Oi vizmu ya;Ой візьму я;Oi vizmu ya;04-БК-07;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;4+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 26, № 14.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 26, № 14.";;
Kmeln_ballads_454_Oi vidchyny;Ой відчини;Oi vidchyny;04-БК-07;1928;Василів І.;с. Мала Кужелівка Дунаєвецького р-ну Хмельницької обл.;Востафієв Іван;single;man;4+6;4st;ІМФЕ, ф. 6-4, од. зб. 108, арк. 8-9, № 20.;"Зап. 1911-1928 рр. Василів І. у с. Мала Кужелівка Дунаєвецького р-ну Хмельницької обл. від Івана 
Востафієва. – ІМФЕ, ф. 6-4, од. зб. 108, арк. 8-9, № 20.";;
Kmeln_ballads_455_Oi orav ya;Ой орав я;Oi orav ya;04-БК-07;1928;Харків Володимир;"с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.)";Довгешко Їринa;single;woman;4+6;4st;"ІМФЕ, ф. 6-3, од. зб. 81, арк. 91 (106) (текст), 
арк. 92 (107) (мел.) № 20. Чернетка.";"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Довгешко Їрини. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 91 (106) (текст), 
арк. 92 (107) (мел.) № 20. Чернетка.";;
Kmeln_ballads_456_Orav zhe ya;Орав же я;Orav zhe ya;04-БК-07;1928;Харків Володимир;"с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.)";Смішок Сяня ;single;;4+6;4st;"ІМФЕ, ф. 6-3, од. зб. 81, арк. 93 (108) (текст), арк. 
94 (109) (мел.) № 20а. Чeрнетка.";"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Сяні Смішок. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 93 (108) (текст), арк. 
94 (109) (мел.) № 20а. Чeрнетка.";;
Kmeln_ballads_457_Oi horav ya;Ой горав я;Oi horav ya;04-БК-07;1978;Мишанич Михайло;с. Студениця Кам’янець-Подільського р-ну;"Буймистер 
Параска Василівна, 1888 р. н.";heterof;woman;4+6;4st;ІМФЕ, ф. 14-3, од. зб. 973, арк. 174 (текст), арк. 256 (мел.), № 123.;"Зап. 19 липня 1978 р. Мишанич М. В. у с. Студениця Кам’янець-Подільського р-ну від Буймистер 
Параски Василівни, 1888 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 174 (текст), арк. 256 (мел.), № 123.";;
Kmeln_ballads_458_Oi po hori Serbyn khodyt;Ой по горі Сербин ходить;Oi po hori Serbyn khodyt;04-БК-08;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки;single;women;4+4;3st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 97, № 64.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 97, № 64.";;
Kmeln_ballads_459_Nadletila zozulenka;Налетіла зозуленька;Nadletila zozulenka;05-БК;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;4+4+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 88, № 58.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 88, № 58.";;
Kmeln_ballads_460_Oi vyshenko-chereshenko;Ой вишенько-черешенько;Oi vyshenko-chereshenko;05-БК-06;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Сердечна Н. М., Сердечна Г. К., Сердечна С. К.;single;women;4+4+6_r;6st;Нотація Єфремової Л.О.;"Зап. 26 липня 1986 р. Дмитренко М.К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Сер-
дечної Н. М., Сердечної Г. К., Сердечної С. К. Нотація Єфремової Л.О.";;
Kmeln_ballads_462_Shyrokaia vulychenka;Широка вуличенька;Shyrokaia vulychenka;05-БК-10;-;-;-;-;2 voices;;4+4+6;6st;-;;;
Kmeln_ballads_463_Kolo mlyna kreminyna;Коло млина крем’янина;Kolo mlyna kreminyna;08-ЛК-04+05-БК-10;1918;Постоловський А.;с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;4+4+6_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 48, № 27.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 48, № 27.";;
Kmeln_ballads_464_Oi shob ne moroz;Ой щоб не мороз;Oi shob ne moroz;05-БК;2006;Сигидин М. А.;с. Липи Кам’янець-Подільського р-ну Хмельницької обл.;Бучацька Ольга Іванівна, 1931 р. н.;single;woman;5+7_###_r;6st;Розшифр. Єфремова Л. О., № 12.;"Зап. 17 грудня 2006 р. Сигидин М. А. у с. Липи Кам’янець-Подільського р-ну Хмельницької обл. 
від Бучацької Ольги Іванівни, 1931 р. н. Розшифр. Єфремова Л. О., № 12.";;
Kmeln_ballads_466_Pislav mene mii mylenkyi;Послав мене мій миленький;Pislav mene mii mylenkyi;05-БР-01;1978;Дем’ян Григорій;с. Лоївці Новоушицького р-ну Хмельницької обл.;Гарнець Надія Миколаївна, 1912 р. н.;single;woman;4+4+6;6st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 134-135 (текст), арк. 248 
(мел.), № 93. Нотація Мишанича М. В.";"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гар-
нець Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 134-135 (текст), арк. 248 
(мел.), № 93. Нотація Мишанича М. В.";;
Kmeln_ballads_467_Na horodi barvinets;На городі барвінок;Na horodi barvinets;05-БР-02-1;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну;Настина В. П. ;single;woman;###;6st;"Нотація 
Єфремова Л. О.";"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну від Настиної В. П. Нотація 
Єфремова Л. О. Вар. зап. 1974 р. Нагорний Л. С. у м. Віньківці від Полотнюк Наадії Григорівни.";;
Kmeln_ballads_469_Na Dzhurynskim mosti;На Джуринськім мості;Na Dzhurynskim mosti;05-БР-04;-;-;-;-;single;;6+6+6;6st;-;;;
Kmeln_ballads_470_Oi ore Semen, ore;Ой оре Семен, оре;Oi ore Semen, ore;05-БР-04;-;Конощенко Андрій;с. Калюс Новоушицького пов. Подільської губ. (нині Новоушицький р-н );Коротан Никифор ;single;man;###_r;6st;ІМФЕ, ф. 6-4, од. зб. 148, арк. 68 зв., № 104.;"Зап. Конощенко А. у с. Калюс Новоушицького пов. Подільської губ. (нині Новоушицький р-н ) 
від Никифора Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 68 зв., № 104. Вар. зап. 1937 р. Гайдай
М. П. у с. Згарок Деражнянського р-ну. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 108.";;
Kmeln_ballads_470v_Oi ore Semen, ore;Ой оре Семен, оре;Oi ore Semen, ore;05-БР-04;1937;Гайдай Михайло;с. Згарок Деражнянського р-ну.;-;single;;6+6+7+6;6st;ІМФЕ, ф. 8-3, од. зб. 182, арк. 108.;"Зап. Конощенко А. у с. Калюс Новоушицького пов. Подільської губ. (нині Новоушицький р-н ) 
від Никифора Коротана. – ІМФЕ, ф. 6-4, од. зб. 148, арк. 68 зв., № 104. Вар. зап. 1937 р. Гайдай
М. П. у с. Згарок Деражнянського р-ну. – ІМФЕ, ф. 8-3, од. зб. 182, арк. 108.";;
Kmeln_ballads_471_Pokyn, Yasiu, matir;Покинь, Ясю, матір;Pokyn, Yasiu, matir;05-БР-06;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина ;"м. Кам’я-
нець-Подільський Хмельницької обл.";"Сис Тамара Андріївна, 1913 р. н., музейний працівник, 
збирач фольклору.";single;woman;6+6;4st;"ІМФЕ, ф. 14-5, од. зб. 419, арк. 110-111, пл. ф. 14-10, од. зб. 1180 (9). Нотація
З. Василенко. Мел. (тільки 1 строфа) надр.: Балади, 2, с. 130.";"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’я-
нець-Подільський Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, 
збирач фольклору. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 110-111, пл. ф. 14-10, од. зб. 1180 (9). Нотація
З. Василенко. Мел. (тільки 1 строфа) надр.: Балади, 2, с. 130.";;
Kmeln_ballads_472_A v nashii kraini;А в нашій країні;A v nashii kraini;05-БР-06;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина ;м.Кам’янець-Подільський Хмельницької обл.;Стрілецькa Параска Михайлівна, 1902 р. н.;single;woman;6+6^4+4+6_r;6st;ІМФЕ, ф. 14-5, од. зб. 419, арк. 121-122, пл. ф. 14-10, од. зб. 1181 (4). Нотація Іванова В. Ф,;"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 121-122, пл. ф. 14-10, од. зб. 1181 (4). Нотація Іванова В. Ф,";;
Kmeln_ballads_474_Oi tam kolo brodu;Ой там коло броду;Oi tam kolo brodu;05-БР-07;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;від матері та тітки;single;women;6+6^4+4+6_r;6st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 118, № 80.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 118, № 80.";;
Kmeln_ballads_475_Ya tsia nichka;Я ця нічка;Ya tsia nichka;05-БР-09;1928;Харків Володимир;с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.).;-;single;;4+6_r;6st;ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 127-128 (104), мел. – арк. 129 (105), № 33.;"Зап. 1927-1928 рр. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 127-128 (104), мел. – 
арк. 129 (105), № 33.";;
Kmeln_ballads_478_Oi na hori;Ой на горі;Oi na hori;05-БР-09;1978;Дем’ян Григорій, Мишанич Михайло (мел.);"с. Лоївці Новоушицького р-ну 
Хмельницької обл.";"Розова Марія Василівна, 1930 р. н., Куцяк Олександра  Миколаївна, 
1922 р. н., Сухарева Марія Іллівна, 1930 р. н. і Гуменюк Марія Улянівна,  1924 р. н.";2 voices;group of women;4+6;8st;"ІМФЕ, 
ф. 14-3, од.зб. 973, арк. 3-4 (текст), арк. 222 (мел.), № 1. ";"Зап. 23 липня 1978 р. Дем’ян Г. В., Мишанич М. В. (мел.) у с. Лоївці Новоушицького р-ну 
Хмельницької обл. від Розової Марії Василівни, 1930 р. н., Куцяк Олександри  Миколаївни, 
1922 р. н., Сухаревої Марії Іллівни, 1930 р. н. і Гуменюк Марії Улянівни,  1924 р. н. – ІМФЕ, 
ф. 14-3, од.зб. 973, арк. 3-4 (текст), арк. 222 (мел.), № 1. ";;
Kmeln_ballads_479_Oi na hori;Ой на горі;Oi na hori;05-БР-09;1978;Дем’ян Григорій;с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.;Мазур Ольга Федорівна, 1924 р. н.;single;woman;4+6;8st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 75-76 (текст), арк. 236 
(мел.), № 53. Нотація Мишанича М. В.";"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 75-76 (текст), арк. 236 
(мел.), № 53. Нотація Мишанича М. В.";;
Kmeln_ballads_480_Pozhenu ya tovar na yar;Пожену я товар на яр;Pozhenu ya tovar na yar;05-БР-10;1918;Постоловський А.;с.Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.;-;single;;4+4+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк. 121, № 81.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 121, № 81.";;
Kmeln_ballads_481_Oi zaimu ya voly v poly;Ой займу я воли в полі;Oi zaimu ya voly v poly;05-БР-10;1927;Харків Володимир;"с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.).";-;single;;4+4+6_r;6st;"ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 136-138 (112-114), мел. 
– арк. 130 (106), № 36.";"Зап. 1927 р. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 136-138 (112-114), мел. 
– арк. 130 (106), № 36.";;
Kmeln_ballads_482_Oi z-za hory sontse skhody;Ой з-за гори сонце сходить;Oi z-za hory sontse skhody;05-БР-10;1928;Харків Володимир;с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну Хмельницької обл.);від гурту хлопців;single;group of men;4+4+6;6st;ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 20-21 (14), мел. – арк. 22 (15), № 53. Чeрнетка.;"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від гурту хлопців. – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 20-
21 (14), мел. – арк. 22 (15), № 53. Чeрнетка. Вар. зап. [1929 р.] Харків В. Й. у с. Демшин Китайго-
родського р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну) від Ольги Стебницької 
(навчила мама). – ІМФЕ, ф. 6-3, од. зб. 81, арк. 202-203 (236-238) – текст, арк. 204 (239)  – мел.,
 № 79. Чeрнетка. Надр. у зб. Балади, 2, с. 190-191 за зб. Хвилі. Подаємо мел. за рукописом. (Л. Є.)";;
Kmeln_ballads_482v_Oi z-za hory sontse skhody;Ой з-за гори сонце сходить;Oi z-za hory sontse skhody;05-БР-10;1929;Харків Володимир;с. Демшин Китайгородського р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну);Стебницька Ольга (навчила мама).;single;woman;6+8_r;6st;ІМФЕ, ф. 6-3, од. зб. 81, арк. 202-203 (236-238) – текст, арк. 204 (239)  – мел., № 79. Чeрнетка. Надр. у зб. Балади, 2, с. 190-191 за зб. Хвилі. Подаємо мел. за рукописом. (Л. Є.);"Зап. 1927-1928 рр. Харків В. Й. у с. Вітківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) від гурту хлопців. – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 20-
21 (14), мел. – арк. 22 (15), № 53. Чeрнетка. Вар. зап. [1929 р.] Харків В. Й. у с. Демшин Китайго-
родського р-ну Кам’янецької окр. (нині Кам’янець-Подільського р-ну) від Ольги Стебницької 
(навчила мама). – ІМФЕ, ф. 6-3, од. зб. 81, арк. 202-203 (236-238) – текст, арк. 204 (239)  – мел.,
 № 79. Чeрнетка. Надр. у зб. Балади, 2, с. 190-191 за зб. Хвилі. Подаємо мел. за рукописом. (Л. Є.)";;
Kmeln_ballads_483_Pozhenu ya tovar na yar;Пожену я товар на яр;Pozhenu ya tovar na yar;05-БР-10;1971;Шумада Наталя, Іванов В. Ф., Довженок Галина ;"м Кам’янець-
Подільський Хмельницької обл.";Руденко М.;single;;4+4+6;4st;"ІМФЕ, ф. 14-5, од. зб. 419, арк. 180-182, пл. ф. 
14-10, од. зб. 1182 (6). Нотація Іванова В. Ф. ";"Зап. 20.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м Кам’янець-
Подільський Хмельницької обл. від Руденко М. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 180-182, пл. ф. 
14-10, од. зб. 1182 (6). Нотація Іванова В. Ф. ";;
Kmeln_ballads_484_i Oi chy rano, chy ne rano;Ой чи рано, чи не рано;i Oi chy rano, chy ne rano;05-БР-10;1978;Дем’ян Григорій;с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.;Мазур Ольга Федорівна, 1924 р. н.;single;woman;4+4+6_r;6st;"ІМФЕ, ф. 14-3, од.зб. 973, арк. 58-59 (текст), арк. 232 
(мел.), № 41. Нотація Мишанича М. В.";"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 58-59 (текст), арк. 232 
(мел.), № 41. Нотація Мишанича М. В.";;
Kmeln_ballads_485_Oi zatsvila synia kvitka;Ой зацвіла синя квітка ;Oi zatsvila synia kvitka;05-БР-10;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Сердечна Параска Іванівна, 1937 р. н.;single;;4+4+6_r;6st;Нотація Єфремової Л. О.;"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Сердечної Параски Іванівни, 1937 р. н. Нотація Єфремової Л. О.";;
Kmeln_ballads_487_Po sadochku khozhu;По садочку хожу;Po sadochku khozhu;05-БР-11;1918;Постоловський А.;с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.;-;single;;6+6^4+4+6;4st;ІМФЕ, ф. 6-4, од. зб. 119, арк.112, № 76.;"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.112, № 76.";;
Kmeln_ballads_489_V sadu, vyshnevomu sadochku;В саду, вишневому садочку;V sadu, vyshnevomu sadochku;05-БР-12;1986;Дмитренко Микола;с. Яхнівці Волочиського р-ну Хмельницької обл.;Щесняк Н. І. 1944 р. н., Козак Н. В.,  Посполіта М. П., Дишльовська Ф. М. ;2 voices;group of women;9+8_r;6st;Нотація Єфремової Л. О.;"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-нуХмельницької обл. від Щес-
няк Н. І. 1944 р. н., Козак Н. В.,  Посполіти М. П., Дишльовської Ф. М. Нотація Єфремової Л. О.";;
Kmeln_ballads_490_y Oi z-pid mosta hlyboko;Ой з-під моста глибоко;y Oi z-pid mosta hlyboko;05-БР-13;1978;Дем’ян Григорій;с. Лоївці Новоушицького р-ну Хмельницької обл.;"Гарнець 
Надія Миколаївна, 1912 р. н.";single;woman;7+7;3st;"ІМФЕ, ф. 14-3, од. зб. 973, арк. 128-130 (текст), арк. 247 (мел.), № 
90. Нотація Мишанича М. В.";"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гарнець 
Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 128-130 (текст), арк. 247 (мел.), № 
90. Нотація Мишанича М. В.";;
