filename,year,place,performer,collector,archive reference,original metadata
Kmeln_ballads_453.Oi vizmu ya_4st_(singl)_4+6_( 04-БК-07).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 26, № 14."
Kmeln_ballads_455.Oi orav ya_4st_(singl)_4+6_(04-БК-07).xml,1928,,,,,"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Довгешко Їрини. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 91 (106) (текст), 
арк. 92 (107) (мел.) № 20. Чернетка."
Kmeln_ballads_456.Orav zhe ya_4st_(singl)_4+6_(04-БК-07).xml,1928,,,,,"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Сяні Смішок. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 93 (108) (текст), арк. 
94 (109) (мел.) № 20а. Чeрнетка."
Kmeln_ballads_457.Oi horav ya_4st_(singl)_4+6_(04-БК-07).xml,1978,,,,,"Зап. 19 липня 1978 р. Мишанич М. В. у с. Студениця Кам’янець-Подільського р-ну від Буймистер 
Параски Василівни, 1888 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 174 (текст), арк. 256 (мел.), № 123."
Kmeln_ballads_458.Oi po hori Serbyn khodyt_3st_(singl)_4+4_(04-БК-08).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 97, № 64."
Kmeln_ballads_459.Nadletila zozulenka_4st_(singl)_4+4+6_(05-БК).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 88, № 58."
Kmeln_ballads_460.Oi vyshenko-chereshenko_6st_(singl)_4+4+6_r_(05-БК-06).xml,1986,,,,,"Зап. 26 липня 1986 р. Дмитренко М.К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Сер-
дечної Н. М., Сердечної Г. К., Сердечної С. К. Нотація Єфремової Л.О."
Kmeln_ballads_461.Oi vyshenko-chereshenko_6st_(2voices)_4+4+6_(05-БК-06).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 24."
Kmeln_ballads_462.Shyrokaia vulychenka_6st_(2voices)_4+4+6_(05-БК-10).xml,unknown,,,,,
Kmeln_ballads_463.Kolo mlyna kreminyna_6st_(singl)_4+4+6_r_(08-ЛК-04+05-БК-10).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 48, № 27."
Kmeln_ballads_464.Oi shob ne moroz_6st_(singl)_5+7_###_r_ (05-БК).xml,2006,,,,,"Зап. 17 грудня 2006 р. Сигидин М. А. у с. Липи Кам’янець-Подільського р-ну Хмельницької обл. 
від Бучацької Ольги Іванівни, 1931 р. н. Розшифр. Єфремова Л. О., № 12."
Kmeln_ballads_465.Poslav mene mylyi_6st_(2voices)_6+6^4+4+6_r_(05-БР-01).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 178 зв.-179."
Kmeln_ballads_466.Pislav mene mii mylenkyi_6st_(singl)_4+4+6_ (05-БР-01).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гар-
нець Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 134-135 (текст), арк. 248 
(мел.), № 93. Нотація Мишанича М. В."
Kmeln_ballads_467.Na horodi barvinets_6st_(singl)_###_ 05-БР-02-1.xml,1986,,,,,"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну від Настиної В. П. Нотація 
Єфремова Л. О. Вар. зап. 1974 р. Нагорний Л. С. у м. Віньківці від Полотнюк Наадії Григорівни."
Kmeln_ballads_467v.Na horodi barvinets _6st_(2voices)_###_ r_05-БР-02-1.xml,1986,,,,,"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну від Настиної В. П. Нотація 
Єфремова Л. О. Вар. зап. 1974 р. Нагорний Л. С. у м. Віньківці від Полотнюк Наадії Григорівни."
Kmeln_ballads_468.Na horodi chornobyl_6st_(singl)_7+7+7_( 05-БР-02).xml,2003,,,,,"Зап. у серпні 2003 р. Панчук О. В. у с. Гриців Шепетівського р-ну від Панчук Людмили Іванівни, 
1966 р. н. – Касета № 2, ст. В, № 2. Нотація та ред. тексту Єфремової Л. О. № 29."
Kmeln_ballads_469.Na Dzhurynskim mosti_6st_(singl)_6+6+6_( 05-БР-04).xml,unknown,,,,,
"Kmeln_ballads_471.Pokyn, Yasiu, matir_4st_(singl)_6+6_(05-БР-06).xml",1971,,,,,"Зап. у травні 1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’я-
нець-Подільський Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, 
збирач фольклору. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 110-111, пл. ф. 14-10, од. зб. 1180 (9). Нотація
З. Василенко. Мел. (тільки 1 строфа) надр.: Балади, 2, с. 130."
Kmeln_ballads_472.A v nashii kraini_6st_(singl)_6+6^4+4+6_r_(05-БР-06).xml,1971,,,,,"Зап. 19.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. 
у м. Кам’янець-Подільський Хмельницької обл. від Стрілецької Параски Михайлівни, 1902 р. н. – 
ІМФЕ, ф. 14-5, од. зб. 419, арк. 121-122, пл. ф. 14-10, од. зб. 1181 (4). Нотація Іванова В. Ф,"
Kmeln_ballads_473.Ozhenyvsia staryi Semen_6st_(2voices)_4+4+4+3_(05-БР-06).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-з
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 173 зв.-174."
Kmeln_ballads_474.Oi tam kolo brodu_6st_(singl)_6+6^4+4+6_r_(05-БР-07).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.
від матері та тітки. – ІМФЕ, ф. 6-4, од. зб. 119, арк. 118, № 80."
Kmeln_ballads_476.Oi u luzi_6st_(2voices)_4+6_(05-БР-09).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 145 зв.-146."
Kmeln_ballads_477.Dobryi vechir_6st_(2voices)_4+6_###_(05-БР-09).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 26."
Kmeln_ballads_478.Oi na hori_8st_(2voices)_4+6_(05-БР-09).xml,1978,,,,,"Зап. 23 липня 1978 р. Дем’ян Г. В., Мишанич М. В. (мел.) у с. Лоївці Новоушицького р-ну 
Хмельницької обл. від Розової Марії Василівни, 1930 р. н., Куцяк Олександри  Миколаївни, 
1922 р. н., Сухаревої Марії Іллівни, 1930 р. н. і Гуменюк Марії Улянівни,  1924 р. н. – ІМФЕ, 
ф. 14-3, од.зб. 973, арк. 3-4 (текст), арк. 222 (мел.), № 1. "
Kmeln_ballads_479.Oi na hori_8st_(singl)_4+6_(05-БР-09).xml,1978,,,,,"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 75-76 (текст), арк. 236 
(мел.), № 53. Нотація Мишанича М. В."
Kmeln_ballads_480.Pozhenu ya tovar na yar_4st_(singl)_ 4+4+6_(05-БР-10).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 121, № 81."
Kmeln_ballads_481.Oi zaimu ya voly v poly_6st_(singl)_4+4+6_r_(05-БР-10).xml,1927,,,,,"Зап. 1927 р. Харків В. Й. у с. Ісаківці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.). – ІМФЕ, ф.6-3, од.зб. 77, текст – арк. 136-138 (112-114), мел. 
– арк. 130 (106), № 36."
Kmeln_ballads_483.Pozhenu ya tovar na yar_4st_(singl)_4+4+6_(05-БР-10).xml,1971,,,,,"Зап. 20.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м Кам’янець-
Подільський Хмельницької обл. від Руденко М. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 180-182, пл. ф. 
14-10, од. зб. 1182 (6). Нотація Іванова В. Ф. "
"Kmeln_ballads_484.i Oi chy rano, chy ne rano_6st_(singl)_4+4+6_r_(05-БР-10).xml",1978,,,,,"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 58-59 (текст), арк. 232 
(мел.), № 41. Нотація Мишанича М. В."
Kmeln_ballads_485.Oi zatsvila synia kvitka_6st_(singl)_4+4+6_r_(05-БР-10).xml,1986,,,,,"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Сердечної Параски Іванівни, 1937 р. н. Нотація Єфремової Л. О."
Kmeln_ballads_486.Oi ranenko sontse skhodyt_4st_(2voices)_4+4+6_(05-БР-10).xml,1987,,,,,"Зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від гурту жінок. – 
ІМФЕ, ф. 14-5, од. зб. 508, арк. 66. Нотація Єфремової Л. О."
Kmeln_ballads_487.Po sadochku khozhu_4st_(singl)_6+6^4+4+6_(05-БР-11).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк.112, № 76."
Kmeln_ballads_488.Za horamy sontse palaie_6st_(singl)_9+8_r_(05-БР-12).xml,1987,,,,,"Зап. 1987 р. Гримич М. В. у с. Мокіївці Шепетівського р-ну Хмельницької обл. від Уланової Г. С. 
– ІМФЕ, ф. 14-5, од. зб. 508, арк. 53. Ред мел. Єфремової Л. О."
"Kmeln_ballads_489.V sadu, vyshnevomu sadochku_6st_(2voices)_9+8_r_(05-БР-12).xml",1986,,,,,"Зап. 27 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-нуХмельницької обл. від Щес-
няк Н. І. 1944 р. н., Козак Н. В.,  Посполіти М. П., Дишльовської Ф. М. Нотація Єфремової Л. О."
Kmeln_ballads_490.y Oi z-pid mosta hlyboko_3st_(singl)_7+7_(05-БР-13).xml,1978,,,,,"Зап. 22 липня 1978 р. Дем’ян Г. В. у с. Лоївці Новоушицького р-ну Хмельницької обл. від Гарнець 
Надії Миколаївни, 1912 р. н. – ІМФЕ, ф. 14-3, од. зб. 973, арк. 128-130 (текст), арк. 247 (мел.), № 
90. Нотація Мишанича М. В."
"Kmeln_ballads_491.Oi daleko, daleko_3st_(singl)_7+7_(05-БР-13).xml",1986,,,,,"Зап. 24 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від Нас-
тиної В. П. Нотація Єфремової Л. О."
Kmeln_ballads_492.Slavnyi horod Lebedyn_5st_(2voices)_7+7_(05-БР-14).xml,1954,,,,,"Зап. 1954 р. експ. ІМФЕ у с. Пилява Старосинявського р-ну Хмельницької обл. від Супрун Л., 
Доценко Д. та ін. – ІМФЕ, ф. 14-5, од. зб. 171, арк. 18, № 5. Розш. О. Стьожка."
"Kmeln_ballads_493.Oi ziishov misiats, ziishov yasnyi_6st_(2voices)_9+8_r_(06-БК-02).xml",1974,,,,,"Зап. 1974 р. Нагорний Л. С. у с. Борбухи Ярмолинецького р-ну Хмельницької обл. від Макарової 
Ганни Павлівни."
Kmeln_ballads_494.Ne piidu zamizh za staroho_4st_(2voices)_9+8_(06-БК-02).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 144 зв.-145."
Kmeln_ballads_495.Kotyvsia misiats iz-za khmary_6st_(singl)_9+8_(06-БК-02).xml,2010,,,,,"Зап. 23 липня 2010 р. Коваль-Фучило І. М. у с. Великий Чернятин Старокостянтинівського р-ну 
Хмельницької обл. від Червінської Людмили Дмитрівни, 1962 р. н. Розш. Єфремова Л. О. Мабуть, 
через трагічний зміст виконавиця переривала спів й казала, що не хоче співати цю пісню, але від-
мовлялася й проказати слова і, зрештою, проспівала до кінця. (Л. Є.)"
"Kmeln_ballads_496.Zaidy, misiats, zaidy, yasnyi_4st_(2voices)_4+4+6_(06-БК-04).xml",1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 184 зв.-185."
Kmeln_ballads_497.Koly b ya mala orlyni kryla_6st_(2voices)_5+5+8_r_(06-БК-01).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 45."
"Kmeln_ballads_498.Oi v sadu, v sadu_6st_(singl)_5+5_r_(07-БК-04).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 60, № 37."
Kmeln_ballads_499.Oi pid horoiu_6st_(singl)_5+5_(07-БК-04).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 63, № 38. вар. зап. 19.V.1971 р. експ. ІМФЕ у 
складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. у м. Кам’янець-Подільський 
Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, збирач фольклору. 
– ІМФЕ, ф. 14-5, од. зб. 419, арк. 116-117, пл. ф. 14-10, од. зб. 1181 (1). Нотація З. Василенко."
Kmeln_ballads_499v.Oi pid horoiu_6st_(singl)_5+5_r_(07-БК-04).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 63, № 38. вар. зап. 19.V.1971 р. експ. ІМФЕ у 
складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В., Спінатьєв В. Т. у м. Кам’янець-Подільський 
Хмельницької обл. від Сис Тамари Андріївни, 1913 р. н., музейний працівник, збирач фольклору. 
– ІМФЕ, ф. 14-5, од. зб. 419, арк. 116-117, пл. ф. 14-10, од. зб. 1181 (1). Нотація З. Василенко."
Kmeln_ballads_500.Des uziavsia strilets_6st_(singl)_6+6_(07-БК-04).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 17."
Kmeln_ballads_501.Oi khodyla divchynonka_4st_(singl)_4+4+3_(07-БК-05).xml,1926,,,,,"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 36 (18 зв.), № 54."
Kmeln_ballads_502.Oi na stavu_3st_(2voices)_ 4+4+6_(07-БК-05).xml,1952,,,,,Зап. 1952 р. Нагорний Л. С. у с. Баламутівка Ярмолинецького р-ну Хмельницької обл. від матері.
Kmeln_ballads_503.Oi siadu ya krai vykontsia_3st_(singl)_9+8_(07-БК-05).xml,1926,,,,,"Зап. 1926 р. Гайдай М. П. у с. Адамівка біля Зінькова (нині Віньковецького р-ну Хмельницької 
обл.) від Івана Васькіна. – ІМФЕ, ф. 6-3, од. зб. 69, арк. 41 (21), № 62. "
"Kmeln_ballads_504.Oi Vasyliu, Vasylenku_4st_(singl)_4+4+6_(07-БК-07).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од. зб. 119, арк. 68-69, № 42."
"Kmeln_ballads_505.Oi kazala-s, divchynonko_6st_(singl)_4+4+3_r_(07-БК-08).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл..
ІМФЕ, ф. 6-4, од. зб. 119, арк. 46, № 26. Вар. зап. 1975 р. Нагорний Л. С. у с. Баламутівка Ярмоли-
нецького р-ну Хмельницької обл. від Старцуна П. О., Мосьондза Н. П. "
"Kmeln_ballads_505v.Oi kazala-s, divchynonko_6st_(2voices)_4+4+3_r_(07-БК-08).xml",1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл..
ІМФЕ, ф. 6-4, од. зб. 119, арк. 46, № 26. Вар. зап. 1975 р. Нагорний Л. С. у с. Баламутівка Ярмоли-
нецького р-ну Хмельницької обл. від Старцуна П. О., Мосьондза Н. П. "
Kmeln_ballads_506.chereshenka ta y vyshenka_4st_(singl)_4+4+6_(07-БК-08).xml,1928,,,,,"Зап. 1928 р. Харків В. Й. у м. Стара Ушиця Кам’янецької окр. (нині с. Стара Ушиця Кам’янець-
Подільського р-ну Хмельницької обл.). – ІМФЕ, ф. 6-3, од. зб. 81, арк. 63-64 (72-74) (текст), арк. 
65 (75)  (мел.) № 57. Чeрнетка."
Kmeln_ballads_507.chereshenka - ne vyshenka_6st_(singl)_4+4+6_r_(07-БК-08).xml,1928,,,,,"Зап. 1928 р. Харків В. у с. Вахнівці Староушицького р-ну Кам’янецької окр. (нині Новоушицького 
р-ну) від Г. Пізик. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 175 (202-203) – текст, арк. 176 (204) – мел., № 36. "
Kmeln_ballads_508.Oi zairzhav zahnuzdanyi_4st_(2voices)_4+4+6_(07-БК-08).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 22."
Kmeln_ballads_509.Kalyna-malyna_6st_(2voices)_6+4_(07-БК-09).xml,1954,,,,,"Зап. 1954 р. Гуменюк А. І., Березовський І. П. у с. Пилява Старосинявського р-ну від Полікарчук
Г., Гонти Н., Бузік Н. – ІМФЕ, ф. 14-5, од. зб. 171, арк. 4, № 5. Нотація Стьожки О."
Kmeln_ballads_510.Oi na hori sokil_4st_(2voices)_ 6+6+6+4_(07-БК-09).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівки Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 42."
Kmeln_ballads_511.Pry dolyni na okhoti_6st_(singl)_4+4+6_(07-БК).xml,1918,,,,,"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл. 
від матері та тітки. ІМФЕ, ф. 6-4, од. зб. 119, арк. 86, № 56."
Kmeln_ballads_512.Chervona ruzha_4st_(singl)_6+6_(07-БК).xml,1974,,,,,Зап. 1974 р. Нагорний Л. С. у c. Карпівці Хмельницького р-ну від Гнідої Ніли Давидівни.
Kmeln_ballads_513.Oi vyikhav kozachenko_6st_(singl)_ 4+4+5_r_(07-БР-01).xml,1929,,,,,"Зап. [1929 р.] Харків В. Й. у с. Демшин Китайгородського р-ну Кам’янецької окр. (нині Кам’янець-
Подільського р-ну Хмельницької обл.) [від Шевчук Олени Григорівни, 44 р.] – ІМФЕ, ф. 6-3, од. зб. 
81, арк. 191 (222-223) – текст, арк. 192 (224)  – мел., № 72. Чeрнетка."
Kmeln_ballads_514.Oi vyikhav kozachenko_6st_(singl)_4+4+5_r_(07-БР-01).xml,1986,,,,,"Зап. 28 липня 1986 р. Дмитренко М. К. у с. Яхнівці Волочиського р-ну Хмельницької обл. від 
Щесняк Н. І., 1937 р. н. Нотація Єфремової Л. О."
"Kmeln_ballads_515.Oi skazhy ty, oi skazhy ty_4st_(2voices)_###_ 07-БР-1.xml",1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 190 зв.-191."
Kmeln_ballads_516.Oi koly b ya znala_4st_(singl)_6+6_(07-БР-02).xml,1971,,,,,"Зап. 20.V.1971 р. експ. ІМФЕ у складі: Шумада Н. С., Іванов В. Ф., Довженок Г. В. у м. Кам’янець-
Подільський Хмельницької обл. від Руденко М. – ІМФЕ, ф. 14-5, од. зб. 419, арк. 177-179, пл. ф. 
14-10, од. зб. 1182 (5). Нотація Іванова В. Ф. "
Kmeln_ballads_517.Oi koly b ya znala_6st_(2voices)_6+6_(07-БР-02).xml,1971,,,,,"Зап. 1971 р. Струтинський О. Д. від Осінської Броніслави Мартинівни з м. Шепетівка Шепетів-
ського р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 860, арк. 234 зв.-235. Вар. зап. Іванов В.
у с. Мала Побіянка Дунаєвецького р-ну Хмельницької обл. – ІМФЕ, ф. 14-3, од. зб. 1093, арк. 9."
